中天金融 (000540) EPS:0.35 safe_price:4.0229885045 close:7.35 open:7.26
佛山照明 (000541) EPS:0.53 safe_price:6.0919540211 close:9.11 open:9.04
皖能电力 (000543) EPS:0.06 safe_price:0.6896551721999999 close:5.04 open:5.01
中原环保 (000544) EPS:0.41 safe_price:4.7126436767 close:15.15 open:15.16
金浦钛业 (000545) EPS:0.13 safe_price:1.4942528731000002 close:5.04 open:5.04
金圆股份 (000546) EPS:0.41 safe_price:4.7126436767 close:16.61 open:16.5
航天发展 (000547) EPS:0.12 safe_price:1.3793103443999999 close:10.83 open:10.61
湖南投资 (000548) EPS:0.28 safe_price:3.2183908036000006 close:6.3 open:6.27
江铃汽车 (000550) EPS:0.75 safe_price:8.620689652500001 close:16.33 open:16.27
创元科技 (000551) EPS:0.19 safe_price:2.1839080453 close:8.05 open:7.98
靖远煤电 (000552) EPS:0.16 safe_price:1.8390804592 close:3.48 open:3.5
沙隆达A (000553) EPS:0.68 safe_price:7.816091951600001 close:15.7 open:15.31
泰山石油 (000554) EPS:0.0 safe_price:0.0 close:8.04 open:8.02
神州信息 (000555) EPS:0.13 safe_price:1.4942528731000002 close:13.3 open:13.42
西部创业 (000557) EPS:0.03 safe_price:0.34482758609999997 close:4.78 open:4.85
莱茵体育 (000558) EPS:0.01 safe_price:0.1149425287 close:5.11 open:5.08
万向钱潮 (000559) EPS:0.23 safe_price:2.6436781601000003 close:9.41 open:9.39
昆百大A (000560) EPS:0.04 safe_price:0.4597701148 close:9.15 open:9.0
烽火电子 (000561) EPS:0.01 safe_price:0.1149425287 close:9.13 open:8.98
宏源证券 (000562) EPS:0.31 safe_price:3.5632183897000003 close:30.5 open:0.0
陕国投A (000563) EPS:0.13 safe_price:1.4942528731000002 close:4.39 open:4.35
供销大集 (000564) EPS:0.17 safe_price:1.9540229879000002 close:4.78 open:4.79
渝三峡A (000565) EPS:0.15 safe_price:1.7241379305 close:7.41 open:7.43
